code_dept,annee,taux_chomage_moyen,taux_chomage_min,taux_chomage_max,nb_trimestres
14,2005,8.78,8.5,9.0,4
14,2006,8.72,8.3,9.0,4
14,2007,7.75,7.1,8.4,4
14,2008,7.02,6.7,7.7,4
14,2009,8.82,8.5,9.1,4
14,2010,8.88,8.8,9.0,4
14,2011,8.82,8.7,9.0,4
14,2012,9.4,9.1,9.8,4
14,2013,9.75,9.5,9.9,4
14,2014,9.75,9.6,10.0,4
14,2015,9.9,9.8,10.1,4
14,2016,9.4,9.2,9.7,4
14,2017,8.7,8.3,8.9,4
14,2018,8.38,8.1,8.6,4
14,2019,7.7,7.5,8.0,4
14,2020,7.4,6.9,8.2,4
14,2021,7.02,6.5,7.4,4
14,2022,6.38,6.2,6.5,4
14,2023,6.4,6.2,6.6,4
14,2024,6.6,6.5,6.7,4
14,2025,6.88,6.7,7.1,4
15,1982,7.15,6.8,7.4,4
15,1983,7.3,7.2,7.5,4
15,1984,8.48,7.8,9.1,4
15,1985,9.02,8.8,9.2,4
15,1986,9.3,9.2,9.4,4
15,1987,9.25,9.0,9.4,4
15,1988,9.02,8.9,9.2,4
15,1989,8.72,8.6,8.8,4
15,1990,8.55,8.4,8.6,4
15,1991,8.38,8.2,8.7,4
15,1992,8.88,8.7,9.0,4
15,1993,9.02,8.6,9.5,4
15,1994,9.1,8.7,9.4,4
15,1995,8.15,7.9,8.5,4
15,1996,8.65,8.4,8.9,4
15,1997,8.93,8.8,9.0,4
15,1998,8.43,8.3,8.6,4
15,1999,7.95,7.5,8.2,4
15,2000,6.82,6.6,7.2,4
15,2001,6.48,6.0,6.9,4
15,2002,5.62,5.5,5.8,4
15,2003,5.55,5.5,5.7,4
15,2004,5.85,5.8,5.9,4
15,2005,5.95,5.7,6.2,4
15,2006,6.08,5.7,6.3,4
15,2007,5.52,5.2,5.9,4
15,2008,5.1,4.8,5.4,4
15,2009,6.0,5.8,6.1,4
15,2010,5.58,5.5,5.7,4
15,2011,5.8,5.6,6.1,4
15,2012,6.45,6.2,6.8,4
15,2013,6.8,6.6,7.0,4
15,2014,6.52,6.5,6.6,4
15,2015,6.5,6.4,6.6,4
15,2016,6.22,6.1,6.4,4
15,2017,5.65,5.3,5.9,4
15,2018,5.3,5.1,5.4,4
15,2019,4.92,4.8,5.1,4
15,2020,4.75,4.4,5.4,4
15,2021,4.3,4.0,4.6,4
15,2022,4.03,4.0,4.1,4
15,2023,4.18,4.0,4.3,4
15,2024,4.2,4.1,4.3,4
15,2025,4.47,4.3,4.6,4
16,1982,7.1,6.8,7.3,4
16,1983,7.45,7.3,7.7,4
16,1984,8.4,8.1,8.8,4
16,1985,9.12,9.1,9.2,4
16,1986,9.3,9.0,9.5,4
16,1987,9.45,9.3,9.6,4
16,1988,8.95,8.7,9.2,4
16,1989,8.52,8.4,8.7,4
16,1990,8.2,8.1,8.3,4
16,1991,8.5,8.2,8.9,4
16,1992,9.15,9.1,9.2,4
16,1993,9.18,9.0,9.5,4
16,1994,9.62,9.6,9.7,4
16,1995,9.12,9.0,9.3,4
16,1996,9.82,9.6,9.9,4
16,1997,9.82,9.7,10.0,4
16,1998,9.5,9.5,9.5,4
16,1999,9.43,8.9,9.7,4
16,2000,8.15,7.8,8.6,4
16,2001,7.62,7.6,7.7,4
16,2002,7.6,7.5,7.7,4
16,2003,8.12,7.9,8.3,4
16,2004,8.4,8.3,8.6,4
16,2005,8.57,8.3,8.8,4
16,2006,8.52,8.0,8.8,4
16,2007,7.9,7.6,8.2,4
16,2008,7.52,7.3,7.9,4
16,2009,9.18,8.7,9.5,4
16,2010,9.02,9.0,9.1,4
16,2011,9.18,9.0,9.5,4
16,2012,10.05,9.7,10.5,4
16,2013,10.32,10.1,10.5,4
16,2014,10.07,9.9,10.3,4
16,2015,10.07,9.9,10.2,4
16,2016,9.7,9.5,9.9,4
16,2017,8.93,8.5,9.1,4
16,2018,8.6,8.4,8.8,4
16,2019,8.07,7.9,8.3,4
16,2020,7.78,7.2,8.7,4
16,2021,7.4,7.0,7.7,4
16,2022,6.9,6.7,7.0,4
16,2023,6.85,6.6,7.2,4
16,2024,7.38,7.3,7.5,4
16,2025,7.7,7.5,7.9,4
17,1982,9.2,8.9,9.5,4
17,1983,9.62,9.5,9.8,4
17,1984,10.8,10.3,11.2,4
17,1985,11.2,11.1,11.4,4
17,1986,11.4,11.2,11.5,4
17,1987,11.32,11.2,11.5,4
17,1988,10.95,10.7,11.2,4
17,1989,10.25,10.1,10.5,4
17,1990,10.07,10.0,10.1,4
17,1991,10.15,9.9,10.5,4
17,1992,11.0,10.8,11.1,4
17,1993,11.58,11.2,12.1,4
17,1994,12.22,12.0,12.4,4
17,1995,11.42,11.2,11.7,4
17,1996,11.65,11.6,11.7,4
